Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kUpperBand,kMiddleLine,kLowerBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,PREHIGH,PRELOW,PIVOT,R1,R2,R3,S3,S2,S1,UpBB2IRB,LowBB2IRB,UpBB1IRB,LowBB1IRB,SMA5IRB,TOP1VOL,TOP2VOL,TOP3VOL,BUYORSELL
2026-03-23 09:15:00+05:30,22704.4,22838.35,22637.8,22837.2,0,1355083125,22738.08,30811981992149.04,30811981992149.04,1355083125,22738.08,22840.61,22823.52,22806.43,22704.4,100.0,100.0,,,,22704.4,,22704.4,22704.4,,,,,22704.4,22704.4,22704.4,False,,22721.24,22721.24,22721.24,22721.24,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 09:30:00+05:30,22706.4,22742.8,22691.8,22702.15,0,1461153100,22717.3,33193454460155.86,64005436452304.91,2816236225,22727.3,22836.3,22818.14,22799.97,22706.4,100.0,100.0,,,,22705.46,,22705.42,22705.42,,,,,22704.59,22704.59,22704.59,False,,22710.85,22710.85,22710.85,22710.85,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 09:45:00+05:30,22597.5,22706.65,22593.85,22706.1,0,1455621475,22650.25,32970190314118.75,96975626766423.66,4271857700,22701.04,22825.8,22805.01,22784.22,22838.35,1.61,50.8,,,,22665.4,,22668.0,22668.0,,,,,22694.39,22694.39,22694.39,False,,22623.88,22623.88,22623.88,22623.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 10:00:00+05:30,22572.3,22633.05,22571.4,22597.45,0,1103827780,22602.23,24948964491584.59,121924591258008.23,5375685480,22680.75,22817.69,22794.86,22772.04,22833.46,1.28,26.04,0.34,0.34,,22638.11,,22642.62,22642.62,,,,,22682.76,22682.76,22682.76,False,,22587.26,22587.26,22587.26,22587.26,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 10:15:00+05:30,22531.0,22587.5,22530.9,22571.95,0,970229920,22559.2,21887611000762.03,143812202258770.28,6345915400,22662.17,22810.25,22785.57,22760.89,22822.98,0.93,13.49,0.05,0.05,22622.32,22611.68,,22618.47,22618.47,,,,,22668.31,22668.31,22668.31,False,,22545.1,22545.1,22545.1,22545.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 10:30:00+05:30,22548.1,22581.5,22529.85,22530.6,0,1120784115,22555.67,25280042024199.48,169092244282969.75,7466699515,22646.18,22803.86,22777.58,22751.3,22805.45,12.11,12.8,10.32,10.32,22591.06,22597.94,,22605.54,22605.54,,,,,22656.86,22656.86,22656.86,False,,22551.89,22551.89,22551.89,22551.89,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 10:45:00+05:30,22531.85,22550.25,22510.7,22548.2,0,985859930,22530.47,22211892121265.22,191304136404234.97,8452559445,22632.69,22798.46,22770.83,22743.2,22783.4,10.81,11.81,17.29,17.29,22556.15,22585.08,,22593.71,22593.71,,,,,22644.96,22644.96,22644.96,False,,22618.12,22618.12,22618.12,22618.12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,WAIT
2026-03-23 11:00:00+05:30,22554.15,22583.65,22505.0,22531.2,0,855934365,22544.33,19296462670403.3,210600599074638.28,9308493810,22624.56,22795.21,22766.77,22738.33,22756.13,23.53,17.67,59.58,59.58,22547.48,22579.55,,22588.05,22588.05,,,,,22636.31,22636.31,22636.31,False,,22629.28,22629.28,22629.28,22629.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 11:15:00+05:30,22559.15,22561.45,22528.0,22554.6,0,695063215,22544.72,15670008768281.81,226270607842920.1,10003557025,22619.02,22792.99,22763.99,22735.0,22726.0,26.18,21.92,68.85,68.85,22544.85,22576.16,,22584.3,22584.3,,,,,22628.96,22628.96,22628.96,False,,22631.78,22631.78,22631.78,22631.78,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,WAIT
2026-03-23 11:30:00+05:30,22520.15,22571.6,22508.3,22557.85,0,845866835,22539.95,19065796332766.62,245336404175686.7,10849423860,22612.85,22790.52,22760.91,22731.3,22699.48,20.07,21.0,19.26,19.26,22542.68,22567.37,,22576.67,22576.67,,,,,22618.6,22618.6,22618.6,False,,22591.47,22530.05,22560.76,22530.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
