Date,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2025-12-24 05:30:00+05:30,26142.1,26236.4,26123.0,26170.65,188800,11452360315.0,26179.7,299819359575394.6,299819359575394.6,11452360315.0,26179.7,25291.91,25069.96,24848.01,,,,,,,26142.1,,26142.1,26142.1,,,,,,,,False,,0.0,0.0,0.0,0.0,,,True,False,False,False,True,False,WAIT
2025-12-26 05:30:00+05:30,26042.3,26144.2,26008.6,26121.25,142200,8588797305.0,26076.4,223964909011603.6,223964909011603.6,8588797305.0,26076.4,25229.93,25018.31,24806.69,26008.6,0.0,,,,,26089.43,,26091.2,26091.2,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2025-12-29 05:30:00+05:30,25942.1,26106.8,25920.3,26063.35,234300,13568156030.0,26013.55,352955915894328.4,352955915894328.4,13568156030.0,26013.55,25192.22,24986.89,24781.56,26144.2,0.0,0.0,,,,26034.77,,26039.5,26039.5,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2025-12-30 05:30:00+05:30,25938.85,25976.75,25878.0,25940.9,396900,22824471065.0,25927.38,591778620478904.4,591778620478904.4,22824471065.0,25927.38,25140.51,24943.8,24747.08,26139.72,0.0,0.0,16.98,16.98,,26006.65,,26012.81,26012.81,,,,,,,,False,,,,,,,,False,True,False,False,True,False,WAIT
2025-12-31 05:30:00+05:30,26129.6,26187.95,25969.0,25971.05,246300,14781102325.0,26078.47,385468601681086.25,385468601681086.25,14781102325.0,26078.47,25231.17,25019.35,24807.52,25878.0,21.11,10.55,81.17,81.17,26038.99,26036.99,,26038.07,26038.07,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2026-01-01 05:30:00+05:30,26146.55,26197.55,26113.4,26173.3,425600,24602558035.0,26155.48,643491606036053.0,643491606036053.0,24602558035.0,26155.48,25277.38,25057.85,24838.32,25884.2,22.74,16.65,84.04,84.04,26039.88,26060.67,,26058.01,26058.01,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2026-01-02 05:30:00+05:30,26328.55,26340.0,26118.4,26155.1,357500,21356746895.0,26229.2,560170389829573.6,560170389829573.6,21356746895.0,26229.2,25321.61,25094.71,24867.81,25896.73,38.17,27.41,97.52,97.52,26097.13,26112.8,,26101.44,26101.44,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2026-01-05 05:30:00+05:30,26250.3,26373.2,26210.05,26333.7,338800,20171358790.0,26291.62,530337801047133.75,530337801047133.75,20171358790.0,26291.62,25359.06,25125.92,24892.78,25923.33,34.81,31.11,69.59,69.59,26158.77,26137.36,,26122.76,26122.76,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2026-01-06 05:30:00+05:30,26178.7,26273.95,26124.75,26189.7,383000,23448624485.0,26199.35,614338710741465.8,614338710741465.8,23448624485.0,26199.35,25303.7,25079.79,24855.87,25959.32,31.92,31.51,25.13,25.13,26206.74,26144.24,,26130.01,26130.01,,,,,,,,False,,13255.39,,,,,,True,False,False,False,True,False,WAIT
2026-01-07 05:30:00+05:30,26140.75,26187.15,26067.9,26143.1,338200,19975101025.0,26127.53,521899959210986.94,521899959210986.94,19975101025.0,26127.53,25260.61,25043.88,24827.14,25992.43,30.41,30.96,23.86,23.86,26208.97,26143.69,,26131.29,26131.29,,,,,,,,False,,13220.13,,,,,,False,True,False,False,True,False,WAIT
2026-01-08 05:30:00+05:30,25876.85,26133.2,25858.45,26106.5,328500,19601543280.0,25995.82,509558273523100.3,509558273523100.3,19601543280.0,25995.82,25181.58,24978.02,24774.46,26373.2,22.2,26.58,3.57,3.57,26155.03,26103.9,,26103.26,26103.26,,,,,,,,False,,13170.58,,,,,,False,False,False,False,True,False,WAIT
