Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-03-16 09:15:00+05:30,53691.3,53936.8,53635.8,53719.95,0,0.0,53786.3,0.0,0.0,0.0,,,,,53691.3,100.0,100.0,,,,53691.3,,53691.3,53691.3,,,,,53738.8,53738.8,53738.8,53738.8,True,False,False,False,False,False,WAIT
2026-03-16 09:16:00+05:30,53737.3,53814.75,53722.35,53722.35,0,14924688.0,53768.55,802478844622.31,802478844622.31,14924688.0,53768.55,53759.57,53757.32,53755.08,53737.3,100.0,100.0,,,,53715.58,,53714.76,53714.76,,,,,53729.92,53729.92,53729.92,53729.92,True,False,True,True,True,True,WAIT
2026-03-16 09:17:00+05:30,53763.15,53806.95,53733.9,53740.25,0,14396652.0,53770.42,774114079746.02,1576592924368.34,29321340.0,53769.47,53760.12,53757.78,53755.45,53936.8,100.0,100.0,,,,53733.23,,53731.54,53731.54,,,,,53730.86,53730.86,53730.86,53730.86,True,False,True,True,True,True,WAIT
2026-03-16 09:18:00+05:30,53782.55,53794.0,53738.55,53760.75,0,15554616.0,53766.28,836313767451.42,2412906691819.76,44875956.0,53768.36,53759.46,53757.23,53755.0,53932.74,100.0,100.0,48.75,48.75,,53747.69,,53745.07,53745.07,,,,,53736.92,53736.92,53736.92,53736.92,False,False,False,True,True,True,WAIT
2026-03-16 09:19:00+05:30,53810.4,53838.75,53756.1,53782.25,0,16592184.0,53797.43,892616787288.84,3305523479108.6,61468140.0,53776.21,53764.16,53761.15,53758.14,53928.77,100.0,100.0,75.64,75.64,53756.94,53763.16,,53759.2,53759.2,,,,,53750.85,53750.85,53750.85,53750.85,False,False,False,True,True,False,WAIT
2026-03-16 09:20:00+05:30,53791.75,53852.45,53777.15,53815.0,0,10231956.0,53814.8,550630653758.23,3856154132866.83,71700096.0,53781.72,53767.47,53763.91,53760.34,53924.87,82.34,91.17,48.8,48.8,53777.03,53769.34,,53765.18,53765.18,,,,,53753.05,53753.05,53753.05,53753.05,True,False,False,False,True,False,WAIT
2026-03-16 09:21:00+05:30,53768.85,53808.2,53750.3,53793.2,0,13266432.0,53779.25,713458763136.0,4569612896002.83,84966528.0,53781.33,53767.24,53763.71,53760.19,53921.05,66.19,78.68,26.6,26.6,53783.34,53769.25,,53765.77,53765.77,,,,,53735.28,53735.28,53735.28,53735.28,False,False,False,True,True,False,WAIT
2026-03-16 09:22:00+05:30,53782.35,53804.3,53731.65,53762.35,0,9196884.0,53767.97,494497825397.37,5064110721400.2,94163412.0,53780.03,53766.45,53763.06,53759.67,53917.31,70.08,74.38,41.97,41.97,53787.18,53771.59,,53768.14,53768.14,,,,,53736.82,53736.82,53736.82,53736.82,False,False,False,True,True,True,WAIT
2026-03-16 09:23:00+05:30,53796.35,53842.35,53769.3,53771.45,0,8274408.0,53805.83,445211358523.17,5509322079923.37,102437820.0,53782.11,53767.7,53764.1,53760.5,53909.88,73.63,74.0,53.56,53.56,53789.94,53775.71,,53771.8,53771.8,,,,,53748.56,53748.56,53748.56,53748.56,True,False,False,False,True,False,WAIT
2026-03-16 09:24:00+05:30,53753.2,53820.15,53732.15,53796.8,0,8598552.0,53776.15,462397008699.56,5971719088622.93,111036372.0,53781.65,53767.43,53763.87,53760.32,53902.75,52.2,63.1,19.47,19.47,53778.5,53772.18,,53769.59,53769.59,,,,,53754.36,53733.73,53744.04,53733.73,False,False,False,True,True,True,WAIT
2026-03-16 09:25:00+05:30,53709.8,53773.8,53687.35,53752.75,0,6262572.0,53730.58,336491601877.85,6308210690500.78,117298944.0,53778.92,53765.79,53762.51,53759.23,53895.91,39.27,51.18,14.48,14.48,53762.11,53762.87,,53763.0,53763.0,,,,,53720.1,53710.94,53715.52,53710.94,False,False,False,True,False,True,WAIT
2026-03-16 09:26:00+05:30,53698.6,53733.5,53684.4,53710.05,0,13399500.0,53708.95,719673065056.64,7027883755557.42,130698444.0,53771.75,53761.49,53758.92,53756.36,53883.39,36.63,43.91,8.99,8.99,53748.06,53753.69,,53756.38,53756.38,,,,,53721.64,53700.12,53710.88,53700.12,True,False,False,False,False,False,WAIT
2026-03-16 09:27:00+05:30,53691.0,53738.7,53677.3,53694.8,0,17960652.0,53708.0,964630697616.0,7992514453173.42,148659096.0,53764.05,53756.87,53755.07,53753.28,53867.47,34.85,39.38,9.59,9.59,53729.79,53745.06,,53750.06,53750.06,,,,,53730.02,53699.5,53714.76,53699.5,True,False,False,False,False,False,WAIT
2026-03-16 09:28:00+05:30,53766.3,53775.35,53703.9,53703.9,0,10851936.0,53739.62,583178971164.0,8575693424337.42,159511032.0,53762.38,53755.87,53754.24,53752.61,53848.46,57.78,48.58,90.77,90.77,53723.78,53747.89,,53751.54,53751.54,,,,,53780.36,53728.8,53754.58,53728.8,False,False,False,True,True,True,WAIT
2026-03-16 09:29:00+05:30,53794.15,53822.2,53759.5,53763.9,0,8033892.0,53790.85,432149876349.96,9007843300687.38,167544924.0,53763.75,53756.69,53754.92,53753.16,53831.34,63.17,55.88,80.64,80.64,53731.97,53753.89,,53755.25,53755.25,,,,,53760.44,53742.73,53751.58,53742.73,False,False,False,False,True,False,WAIT
2026-03-16 09:30:00+05:30,53879.6,53902.75,53801.25,53801.25,0,9251112.0,53852.0,498190883424.0,9506034184111.38,176796036.0,53768.37,53759.46,53757.23,53755.0,53677.3,74.44,65.16,89.73,89.73,53765.93,53769.81,,53765.56,53765.56,,,,,53865.53,53785.45,53825.49,53785.45,False,False,False,False,False,False,WAIT
2026-03-16 09:31:00+05:30,53950.15,53950.15,53868.9,53883.1,0,11210016.0,53909.52,604326620286.75,10110360804398.13,188006052.0,53776.78,53764.51,53761.44,53758.37,53681.81,80.1,72.63,100.0,100.0,53816.24,53792.17,,53780.23,53780.23,,,,,53903.38,53820.73,53862.05,53820.73,False,False,False,False,False,False,WAIT
