,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-05-20 09:00:00+05:30,23477.55,23480.9,23403.75,23457.25,0,914930500,23442.33,21448098312109.86,21448098312109.86,914930500,23442.33,23764.35,23710.68,23657.01,,,,,,,23477.55,,23477.55,23477.55,,,,,,,,False,,0.0,0.0,0.0,0.0,,,False,True,False,False,True,False,WAIT
2026-05-20 09:30:00+05:30,23541.9,23548.5,23473.5,23476.95,0,1776989280,23511.0,41778794962080.0,63226893274189.86,2691919780,23487.66,23782.49,23733.35,23684.21,23548.5,100.0,,,,,23511.51,,23510.37,23510.37,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2026-05-20 10:00:00+05:30,23519.9,23546.65,23475.65,23541.8,0,1431857515,23511.15,33664617373111.6,96891510647301.45,4123777295,23495.82,23785.75,23737.43,23689.1,23548.5,95.9,97.95,,,,23514.62,,23513.67,23513.67,,,,,,,,False,,,,,,,,False,True,False,False,True,False,WAIT
2026-05-20 10:30:00+05:30,23546.25,23576.05,23503.65,23519.9,0,1485556545,23539.85,34969779106261.54,131861289753563.0,5609333840,23507.48,23790.41,23743.26,23696.1,23473.5,96.12,97.03,82.7,82.7,,23523.89,,23522.31,23522.31,,,,,,,,False,,,,,,,,False,False,False,False,True,False,WAIT
2026-05-20 11:00:00+05:30,23599.1,23602.2,23546.4,23546.4,0,1365108635,23574.3,32181480227457.72,164042769981020.72,6974442475,23520.56,23795.65,23749.8,23703.95,23475.55,96.53,96.78,97.59,97.59,23536.94,23542.45,,23538.92,23538.92,,,,,,,,False,,,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 11:30:00+05:30,23608.75,23640.0,23588.5,23599.85,0,1226683755,23614.25,28967216861508.75,193009986842529.47,8201126230,23534.57,23801.25,23756.8,23712.36,23480.62,96.6,96.69,80.99,80.99,23563.18,23556.78,,23551.75,23551.75,,,,,,,,False,,,,,,,,True,False,False,False,False,False,WAIT
2026-05-20 12:00:00+05:30,23588.25,23613.65,23577.0,23608.15,0,1038690895,23595.33,24508249444935.19,217518236287464.62,9239817125,23541.4,23803.98,23760.22,23716.46,23490.18,91.93,94.31,62.05,62.05,23572.45,23562.91,,23557.61,23557.61,,,,,,,,False,,,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 12:30:00+05:30,23612.65,23615.4,23583.05,23588.0,0,979686180,23599.23,23119835165245.37,240638071452710.03,10219503305,23546.94,23806.2,23762.99,23719.78,23499.17,92.42,93.37,70.78,70.78,23591.0,23571.79,,23565.49,23565.49,,,,,,,,False,,,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 13:00:00+05:30,23566.8,23617.05,23561.85,23612.75,0,1286973435,23589.45,30358995747622.75,270997067200332.8,11506476740,23551.7,23808.1,23765.37,23722.63,23507.62,81.91,87.64,6.33,6.33,23595.11,23570.96,,23565.66,23565.66,,,,,,,,False,,11853.3,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 13:30:00+05:30,23626.9,23626.9,23565.8,23567.1,0,1095873020,23596.35,25858603977590.1,296855671177922.9,12602349760,23555.58,23809.66,23767.31,23724.96,23515.56,84.51,86.07,100.0,100.0,23600.67,23579.73,,23572.95,23572.95,,,,,,,,False,,11853.3,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 14:00:00+05:30,23665.9,23678.85,23623.25,23628.15,0,1466676200,23651.05,34688431853549.8,331544103031472.7,14069025960,23565.53,23813.64,23772.29,23730.94,23523.03,85.98,86.03,88.93,88.93,23612.1,23592.59,,23583.19,23583.19,,,,,,,,False,,11853.3,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 14:30:00+05:30,23679.8,23690.75,23652.6,23665.35,0,1454723270,23671.67,34435736178251.61,365979839209724.3,15523749230,23575.48,23817.62,23777.26,23736.9,23535.49,86.49,86.26,91.51,91.51,23630.41,23605.05,,23593.12,23593.12,,,,,,,,False,,11853.3,,,,,,False,False,False,False,False,False,WAIT
2026-05-20 15:00:00+05:30,23664.35,23680.75,23639.6,23679.15,0,3031962615,23660.17,71736765472177.42,437716604681901.7,18555711845,23589.32,23823.15,23784.18,23745.21,23551.02,82.7,84.48,78.87,78.87,23640.75,23613.21,,23600.01,23600.01,,,,,,,,False,,11853.3,,,,,,False,True,False,False,False,False,WAIT
2026-05-21 09:00:00+05:30,23757.35,23859.15,23750.9,23830.05,0,738818410,23805.03,17587591009111.19,17587591009111.19,738818410,23805.03,23909.43,23892.03,23874.63,23564.99,86.66,85.57,56.85,56.85,23678.86,23632.44,,23614.4,23614.4,,,,,,,,False,,23757.35,,,,,,False,False,False,False,True,False,WAIT
2026-05-21 09:30:00+05:30,23771.35,23812.0,23728.2,23758.1,0,1700520195,23770.1,40421534422903.8,58009125432014.98,2439338605,23780.68,23899.69,23879.86,23860.02,23600.29,87.16,86.36,60.01,60.01,23707.75,23650.46,,23628.04,23628.04,,,,,,,,False,,23725.24,,,,,,True,False,False,False,True,False,WAIT
2026-05-21 10:00:00+05:30,23780.05,23790.55,23752.95,23768.35,0,1248071385,23771.75,29668840946373.75,87677966378388.73,3687409990,23777.66,23898.49,23878.35,23858.21,23631.35,87.48,86.92,63.97,63.97,23730.58,23666.87,,23640.65,23640.65,,,,,,,,False,,23729.59,,,,,,False,False,False,False,True,False,WAIT
2026-05-21 10:30:00+05:30,23723.8,23790.0,23719.0,23780.0,0,1312981395,23754.5,31189216547527.5,118867182925916.23,5000391385,23771.58,23896.05,23875.31,23854.56,23658.69,73.83,80.38,3.42,3.42,23739.38,23673.92,,23647.26,23647.26,,,,,,,,False,,23729.59,,,,,,False,False,False,False,True,False,WAIT
2026-05-21 11:00:00+05:30,23742.95,23746.45,23640.05,23723.75,0,1413114230,23693.25,33481268729947.5,152348451655863.75,6413505615,23754.32,23889.15,23866.68,23844.21,23859.15,75.3,77.84,59.84,59.84,23755.1,23682.32,,23654.57,23654.57,,,,,,,,False,,23729.59,,,,,,False,True,False,False,False,False,WAIT
2026-05-21 11:30:00+05:30,23716.05,23744.8,23711.65,23742.55,0,1054216020,23728.23,25014675538869.2,177363127194732.94,7467721635,23750.63,23887.68,23864.84,23842.0,23854.77,69.14,73.49,50.5,50.5,23746.84,23686.36,,23659.1,23659.1,,,,,,,,False,,23729.59,,,,,,False,False,False,False,False,False,WAIT
